response_id,age_group,gender,employment_status,income,education,location_type,household_size,health_consciousness,exercise_frequency,fitness_goal,hydration_importance,daily_water_intake,bottle_type,monthly_beverage_spend,interest_level,purchase_likelihood,willingness_to_pay_continuous,willingness_to_pay_category,weekly_usage,purchase_preference,sustainability_importance,early_adopter_score,premium_willingness_score,health_condition_Diabetes (Type 1 or 2),health_condition_High blood pressure,health_condition_High cholesterol,health_condition_Heart disease,health_condition_Kidney disease,health_condition_Food allergies,health_condition_None of the above,barrier_I forget to drink,barrier_Plain water is boring/tasteless,barrier_I don't feel thirsty,barrier_It's inconvenient to carry water,barrier_I prefer other beverages,"barrier_Health reasons (frequent bathroom trips, etc.)",barrier_Nothing prevents me,consume_location_At home,consume_location_At work/school,consume_location_At the gym,consume_location_During commute,consume_location_Restaurants/cafes,consume_location_Outdoor activities,beverage_Plain water,"beverage_Flavored water (e.g., LaCroix, Hint)","beverage_Sports drinks (e.g., Gatorade, Powerade)","beverage_Energy drinks (e.g., Red Bull, Monster)","beverage_Enhanced water (e.g., Vitaminwater, Smartwater)",beverage_Coffee,beverage_Tea,beverage_Soda/soft drinks,beverage_Juice,beverage_Protein shakes,beverage_Pre-workout drinks,"beverage_Electrolyte tablets/powders (e.g., Nuun, Liquid I.V.)","beverage_Squeeze flavor enhancers (e.g., MiO, Crystal Light)",beverage_Kombucha,beverage_Coconut water,priority_Taste/flavor variety,"priority_Nutritional benefits (vitamins, minerals)",priority_Low/zero sugar,priority_Natural ingredients,priority_Caffeine content,priority_Electrolytes,priority_Protein content,priority_Convenience/portability,priority_Price/affordability,priority_Brand reputation,priority_Environmental sustainability,priority_No artificial ingredients,used_product_Cirkul (flavor cartridge bottle),used_product_Air Up (scent-based bottle),used_product_MiO/liquid flavor drops,"used_product_Dissolvable tablets (Nuun, Liquid I.V.)","used_product_Powder packets (Crystal Light, etc.)",used_product_Pre-flavored bottled water,used_product_None of the above,appealing_Convenience/ease of use,appealing_Portion control,appealing_No mixing required,appealing_Flavor variety,appealing_Nutritional customization,appealing_Portability,appealing_Hygiene (single-use),appealing_Helps me drink more water,appealing_Health benefits,appealing_Nothing appeals to me,concern_Price/cost per use,concern_Environmental waste (single-use plastic),concern_Powder might not dissolve well,concern_Artificial ingredients,concern_Limited flavor options,concern_Not compatible with my bottle,concern_Prefer other methods,concern_No concerns,price_15_perception,price_25_perception,price_35_perception,price_45_perception,price_60_perception,"flavor_Citrus (lemon, lime, orange)","flavor_Berry (strawberry, blueberry, raspberry)","flavor_Tropical (mango, pineapple, coconut)",flavor_Mint/herbal,flavor_Green tea/matcha,flavor_Coffee-flavored,flavor_Neutral/unflavored (just nutrients),flavor_Sour/tangy,flavor_Sweet/dessert-inspired,"benefit_rank_Energy boost (caffeine, B-vitamins)",benefit_rank_Hydration/electrolytes,"benefit_rank_Immunity support (Vitamin C, zinc)",benefit_rank_Focus/mental clarity,benefit_rank_Recovery (post-workout),benefit_rank_Digestive health (probiotics),benefit_rank_Antioxidants,"benefit_rank_Skin health (collagen, biotin)",benefit_rank_Weight management,benefit_rank_General vitamins/minerals,specialized_Sugar-free (for diabetics),specialized_Keto-friendly,specialized_Vegan,specialized_Organic/natural only,"specialized_Allergen-free (gluten, dairy, soy)",specialized_Kid-friendly formulas,"specialized_Senior-optimized (bone health, etc.)",specialized_Athletic performance,specialized_None - prefer standard versions,"discovery_Social media (Instagram, TikTok, Facebook)",discovery_Friends/family recommendations,discovery_Health/fitness influencers,discovery_Online reviews,discovery_In-store displays,discovery_TV/online ads,discovery_Health blogs/websites,discovery_Nutritionist/doctor recommendation
1,25-34,Male,Self-employed,"$150,000 - $199,999",Some college,Suburban area,1 (Just me),2,Once a week,Stress management,1,02-Apr,Reusable plastic bottles,$20-$39,2,Probably would not purchase,1.02,$1.01 - $1.50,01-Feb,Individual caps (as needed),4,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,Too Cheap,Acceptable,Expensive,Expensive,Expensive,1,0,0,0,0,0,0,1,0,1,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
2,65+,Male,Employed full-time,"$50,000 - $74,999",High school or less,Suburban area,3,3,4-6 times per week,Weight loss,3,08-Oct,Reusable plastic bottles,$60-$79,3,Might or might not purchase,1.74,$1.51 - $2.00,21+,"Multi-packs (e.g., 10-pack, 20-pack)",3,4,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,Too Cheap,Bargain,Bargain,Acceptable,Expensive,1,1,0,1,0,1,0,0,1,2,3,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0
3,45-54,Male,Employed full-time,"$50,000 - $74,999",Bachelor's degree,Urban area (city),1 (Just me),3,Never,No specific goal,4,Less than 2,Stainless steel/insulated bottles,$60-$79,4,Probably would purchase,1.84,$1.51 - $2.00,06-Oct,"Multi-packs (e.g., 10-pack, 20-pack)",4,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Bargain,Bargain,Bargain,Acceptable,Acceptable,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,35-44,Male,Employed full-time,"$50,000 - $74,999",Some college,Suburban area,2,2,Rarely,No specific goal,3,05-Jul,Stainless steel/insulated bottles,$20-$39,4,Might or might not purchase,2.36,$2.01 - $2.50,06-Oct,Individual caps (as needed),3,3,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,Acceptable,Acceptable,Bargain,Bargain,Acceptable,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
5,25-34,Male,Employed full-time,"$50,000 - $74,999",Bachelor's degree,Suburban area,1 (Just me),4,Rarely,No specific goal,4,Nov-13,Stainless steel/insulated bottles,Less than $20,5,Definitely would purchase,2.02,$2.01 - $2.50,06-Oct,Variety packs (multiple flavors),4,4,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Too Cheap,Too Cheap,Acceptable,Bargain,Acceptable,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
6,25-34,Male,Student,"$50,000 - $74,999",Bachelor's degree,Suburban area,1 (Just me),5,4-6 times per week,Stress management,4,08-Oct,Stainless steel/insulated bottles,$100+,2,Probably would not purchase,1.68,$1.51 - $2.00,Nov-15,Variety packs (multiple flavors),4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,Bargain,Bargain,Bargain,Acceptable,Acceptable,1,0,1,0,0,1,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
7,18-24,Male,Self-employed,"$50,000 - $74,999",Bachelor's degree,Rural area,4,3,2-3 times per week,No specific goal,1,05-Jul,I don't carry a water bottle,$40-$59,2,Probably would not purchase,1.62,$1.51 - $2.00,Nov-15,"Multi-packs (e.g., 10-pack, 20-pack)",3,3,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Bargain,Bargain,Bargain,Bargain,Acceptable,1,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
8,55-64,Male,Employed full-time,"$25,000 - $49,999",Some college,Urban area (city),2,2,Never,Weight loss,2,08-Oct,Stainless steel/insulated bottles,$100+,3,Probably would purchase,1.12,$1.01 - $1.50,06-Oct,Individual caps (as needed),2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Bargain,Acceptable,Bargain,Expensive,Expensive,0,1,0,1,0,1,1,1,0,2,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
9,35-44,Female,Employed full-time,"$25,000 - $49,999",Doctoral or professional degree,Suburban area,5+,2,Once a week,Stress management,1,08-Oct,Glass bottles,$20-$39,4,Might or might not purchase,0.53,$0.51 - $0.75,06-Oct,"Multi-packs (e.g., 10-pack, 20-pack)",2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,Bargain,Too Expensive,Too Expensive,Too Expensive,Expensive,1,1,1,1,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
10,45-54,Female,Homemaker,"Less than $25,000",Bachelor's degree,Urban area (city),5+,4,2-3 times per week,General fitness/health,4,05-Jul,Reusable plastic bottles,$20-$39,5,Definitely would purchase,0.6,$0.51 - $0.75,03-May,Individual caps (as needed),3,3,3,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Expensive,Expensive,Too Expensive,Too Expensive,Too Expensive,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
